path	class	redistributable	role	bytes	notes
source_data/figure2.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	7094	Active Source Data path
source_data/figure2_auc.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	611	Active Source Data path
source_data/figure3.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	6002	Active Source Data path
source_data/figure3_b2_summary.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	188	Active Source Data path
source_data/figure3_b3.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	301	Active Source Data path
source_data/figure3_b4_patients.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	2408	Active Source Data path
source_data/figure3_b4_summary.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	433	Active Source Data path
source_data/figure3_influence.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	3071	Active Source Data path
source_data/figure3_signflip.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	853954	Active Source Data path
source_data/figure4.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	593	Active Source Data path
source_data/figure4_auc.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	164	Active Source Data path
source_data/figure4_lineage.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	3265	Active Source Data path
source_data/figure5.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	1049	Active Source Data path
source_data/figure5_axis_direction.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	1470	Active Source Data path
source_data/figure5_phenotype.csv	MAIN_FIGURE_DERIVED	YES_DERIVED	Main Fig 2-5 quantitative tables	975	Aggregated phenotype means only; no sample-level IMvigor rows
source_data/supplementary_tables/table1.csv	SUPPLEMENTARY_TABLE	YES_DERIVED	Active SI table export	595	CSV only; no xlsx
source_data/supplementary_tables/table2.csv	SUPPLEMENTARY_TABLE	YES_DERIVED	Active SI table export	2865	CSV only; no xlsx
source_data/supplementary_tables/table3.csv	SUPPLEMENTARY_TABLE	YES_DERIVED	Active SI table export	3251	CSV only; no xlsx
source_data/supplementary_tables/table4.csv	SUPPLEMENTARY_TABLE	YES_DERIVED	Active SI table export	2099	CSV only; no xlsx
source_data/supplementary_tables/table5.csv	SUPPLEMENTARY_TABLE	YES_DERIVED	Active SI table export	3928	CSV only; no xlsx
source_data/supplementary_tables/table6.csv	SUPPLEMENTARY_TABLE	YES_DERIVED	Active SI table export	2847	CSV only; no xlsx
source_data/supplementary_panels/carrier_generalization.csv	SUPPLEMENTARY_PANEL_DERIVED	YES_DERIVED	SI panel numeric support	1181	No plot script required
source_data/supplementary_panels/matched_substrate.csv	SUPPLEMENTARY_PANEL_DERIVED	YES_DERIVED	SI panel numeric support	1220	No plot script required
source_data/supplementary_panels/pool_decomposition_summary.csv	SUPPLEMENTARY_PANEL_DERIVED	YES_DERIVED	SI panel numeric support	357	No plot script required
source_data/supplementary_panels/pool_pair_categories.csv	SUPPLEMENTARY_PANEL_DERIVED	YES_DERIVED	SI panel numeric support	1704	No plot script required
manifests/datasets.tsv	EXTERNAL_RAW_CATALOG	LINK_ONLY	Public cohort accession and local path contract	8335	Raw matrices must be fetched by user; not in git
data/README.md	EXTERNAL_RAW_LAYOUT	DOCS_ONLY	Where to put acquired raw data locally	6304	data/external/ is gitignored
scripts/plot_figure2.py	MAIN_FIGURE_CODE	YES_CODE	Reproduce Figure 2 quantitative panels	0	Quantitative redraw, not Adobe composition
scripts/plot_figure3.py	MAIN_FIGURE_CODE	YES_CODE	Reproduce Figure 3 quantitative panels	0	Quantitative redraw, not Adobe composition
scripts/plot_figure4.py	MAIN_FIGURE_CODE	YES_CODE	Reproduce Figure 4 quantitative panels	0	Quantitative redraw, not Adobe composition
scripts/plot_figure5.py	MAIN_FIGURE_CODE	YES_CODE	Reproduce Figure 5 quantitative panels	0	Panel c is accession/summary only; no IMvigor sample table
